iter	Passed	Remaining
0	143	143832
1	144	72167
2	145	48244
3	145	36270
4	146	29096
5	146	24318
6	147	20909
7	147	18343
8	148	16346
9	148	14747
10	149	13439
11	150	12354
12	150	11434
13	151	10645
14	151	9960
15	152	9361
16	152	8831
17	153	8361
18	153	7946
19	154	7566
20	154	7222
21	155	6910
22	155	6624
23	156	6365
24	157	6127
25	157	5905
26	158	5700
27	158	5508
28	159	5330
29	159	5164
30	160	5009
31	160	4862
32	161	4725
33	161	4595
34	162	4474
35	162	4360
36	163	4252
37	163	4150
38	164	4053
39	165	3960
40	165	3873
41	166	3788
42	166	3707
43	167	3630
44	168	3572
45	168	3504
46	169	3437
47	170	3373
48	170	3312
49	171	3253
50	171	3197
51	172	3142
52	172	3089
53	173	3037
54	173	2988
55	174	2941
56	175	2895
57	175	2851
58	176	2810
59	176	2768
60	177	2727
61	177	2688
62	178	2651
63	178	2614
64	179	2578
65	179	2544
66	180	2510
67	180	2478
68	181	2448
69	181	2417
70	182	2388
71	183	2359
72	183	2331
73	184	2304
74	184	2277
75	185	2251
76	185	2225
77	186	2200
78	186	2177
79	187	2154
80	187	2131
81	188	2109
82	188	2084
83	189	2063
84	189	2042
85	190	2022
86	190	2002
87	191	1982
88	191	1963
89	192	1947
90	193	1929
91	193	1911
92	194	1893
93	194	1876
94	195	1865
95	196	1849
96	196	1833
97	197	1817
98	197	1801
99	198	1786
100	199	1772
101	199	1758
102	200	1744
103	200	1729
104	201	1716
105	201	1702
106	202	1689
107	202	1676
108	203	1663
109	203	1650
110	204	1637
111	204	1625
112	205	1613
113	206	1601
114	206	1589
115	207	1578
116	207	1565
117	207	1554
118	208	1543
119	208	1532
120	209	1521
121	209	1510
122	210	1501
123	211	1491
124	211	1481
125	212	1471
126	212	1461
127	213	1451
128	213	1442
129	214	1432
130	214	1423
131	215	1414
132	215	1405
133	216	1396
134	216	1387
135	217	1379
136	217	1370
137	218	1362
138	218	1354
139	219	1346
140	219	1338
141	219	1329
142	220	1321
143	220	1313
144	221	1305
145	221	1298
146	222	1290
147	222	1283
148	223	1276
149	223	1269
150	224	1262
151	225	1256
152	225	1249
153	226	1242
154	226	1235
155	227	1228
156	227	1222
157	228	1215
158	228	1209
159	229	1203
160	229	1196
161	230	1190
162	230	1184
163	231	1178
164	231	1172
165	232	1166
166	232	1160
167	233	1154
168	233	1149
169	234	1143
170	234	1138
171	235	1132
172	235	1127
173	236	1122
174	236	1117
175	237	1111
176	237	1106
177	238	1101
178	239	1096
179	239	1091
180	240	1086
181	240	1081
182	241	1076
183	241	1071
184	242	1066
185	242	1062
186	243	1058
187	244	1053
188	244	1049
189	245	1044
190	245	1040
191	246	1035
192	246	1031
193	247	1026
194	247	1022
195	248	1017
196	248	1013
197	249	1009
198	249	1005
199	250	1001
200	250	997
201	251	993
202	251	989
203	252	985
204	253	981
205	253	977
206	254	973
207	254	969
208	255	965
209	255	962
210	256	958
211	256	954
212	257	950
213	257	947
214	258	943
215	258	939
216	259	935
217	259	932
218	260	928
219	260	924
220	261	921
221	261	917
222	262	914
223	263	911
224	263	907
225	264	904
226	264	900
227	265	897
228	265	894
229	266	891
230	266	887
231	267	884
232	267	881
233	268	878
234	268	875
235	269	871
236	269	868
237	270	865
238	270	862
239	271	859
240	271	855
241	272	852
242	272	849
243	273	846
244	273	843
245	274	841
246	275	838
247	275	835
248	276	832
249	276	829
250	277	826
251	277	823
252	278	821
253	278	818
254	279	815
255	279	812
256	280	810
257	280	807
258	281	805
259	282	802
260	282	800
261	283	797
262	283	794
263	284	792
264	284	789
265	285	786
266	285	784
267	286	781
268	286	779
269	287	776
270	287	774
271	288	771
272	288	769
273	289	766
274	289	763
275	290	761
276	290	759
277	291	756
278	291	754
279	292	751
280	292	749
281	293	747
282	294	745
283	294	742
284	295	740
285	295	738
286	296	735
287	296	733
288	297	731
289	297	728
290	298	726
291	298	724
292	299	721
293	299	719
294	300	717
295	300	715
296	301	713
297	301	710
298	302	708
299	302	706
300	303	704
301	303	702
302	304	699
303	304	697
304	305	695
305	305	693
306	306	691
307	306	689
308	307	687
309	307	685
310	308	683
311	308	681
312	309	679
313	309	676
314	310	674
315	310	672
316	311	670
317	311	668
318	312	666
319	312	664
320	313	663
321	314	661
322	314	659
323	315	657
324	315	655
325	316	653
326	316	651
327	317	649
328	317	647
329	318	645
330	318	643
331	319	642
332	319	640
333	320	638
334	320	636
335	321	634
336	321	632
337	322	631
338	322	629
339	323	627
340	323	625
341	324	623
342	324	622
343	325	620
344	325	618
345	326	616
346	326	615
347	327	613
348	327	611
349	328	609
350	328	607
351	329	606
352	329	604
353	330	602
354	330	601
355	331	599
